SOURCE;ROW;COUNT;CREDIT AMOUNT;DEBIT AMOUNT;TOTAL AMOUNT
INTERCHANGE VALUE;TOTAL ACQUIRER;0;0,00;0,00;0,00
INTERCHANGE VALUE;TOTAL ISSUER;682;1.838,08;10.266,27;-8.428,19
INTERCHANGE VALUE;TOTAL OTHER;0;0,00;0,00;0,00
INTERCHANGE VALUE;TOTAL INTERCHANGE VALUE;682;1.838,08;10.266,27;-8.428,19
REIMBURSEMENT FEES;TOTAL ACQUIRER;;0,00;0,00;0,00
REIMBURSEMENT FEES;TOTAL ISSUER;;151,37;15,14;136,23
REIMBURSEMENT FEES;TOTAL OTHER;;0,00;0,00;0,00
REIMBURSEMENT FEES;TOTAL REIMBURSEMENT FEES;;151,37;15,14;136,23
VISA CHARGES;TOTAL ACQUIRER;;0,00;0,00;0,00
VISA CHARGES;TOTAL ISSUER;;0,00;0,00;0,00
VISA CHARGES;TOTAL OTHER;;0,00;0,00;0,00
VISA CHARGES;TOTAL VISA CHARGES;;0,00;0,00;0,00
TOTAL;TOTAL ACQUIRER;;0,00;0,00;0,00
TOTAL;TOTAL ISSUER;;1.989,45;10.281,41;-8.291,96
TOTAL;TOTAL OTHER;;0,00;0,00;0,00
TOTAL;NET SETTLEMENT AMOUNT;;1.989,45;10.281,41;-8.291,96
TOTAL;NET SETTLEMENT AMOUNT;;1.989,45;10.281,41;-8.291,96
