SOURCE;COUNT;INTERCHANGE AMOUNT;REIMBURSEMENT FEE CREDITS;REIMBURSEMENT FEE DEBITS;REPORT DATE;PAGE
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'ELECTRONIC'];1;-20,74;0,23;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'NONAUTHND MRCH'];8;-58,92;0,85;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'A.P. - L.A.C.', 'STANDARD'];27;-420,21;6,73;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL A.P. - L.A.C.'];;;7,81;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'CANADA - L.A.C.', 'STANDARD'];2;-5,05;0,08;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CN CR'];5;-100,85;0,30;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CNPCNCR'];410;-6.269,68;94,05;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'ELECTRONIC'];4;-84,07;0,92;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'STANDARD'];5;-54,23;0,87;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL E.U. - L.A.C.'];;;96,14;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'C.E.M.E.A - L.A.C.', 'ELECTRONIC'];3;-43,95;0,48;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'C.E.M.E.A - L.A.C.', 'STANDARD'];1;-23,63;0,38;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL C.E.M.E.A - L.A.C.'];;;0,86;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'ELECTRONIC'];3;-188,59;2,07;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'NONAUTHND MRCH'];8;-75,05;1,08;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'U.S.A. - L.A.C.', 'STANDARD'];162;-3.553,28;56,86;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA INTERNATIONAL', 'TOTAL U.S.A. - L.A.C.'];;;60,01;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'TOTAL VISA INTERNATIONAL'];;;164,90;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE', 'VISA L.A.C.', 'PARAGUAY - BRAZIL', 'LAC ELECTRONIC'];2;-10,53;0,12;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'TOTAL ORIGINAL SALE'];;;165,02;;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'ORIGINAL SALE          RVRSL', 'VISA INTERNATIONAL', 'E.U. - L.A.C.', 'EEAINT CNPCNCR'];1;9,45;;0,14;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - A.P.', 'DISP FIN'];2;79,82;;1,28;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - E.U.', 'DISP FIN'];8;152,31;;2,28;08AUG20;1
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'VISA INTERNATIONAL', 'L.A.C. - U.S.A.', 'DISP FIN'];10;168,99;;2,70;08AUG20;2
['ISSUER TRANSACTIONS', 'PURCHASE', 'DISPUTE FIN', 'TOTAL VISA INTERNATIONAL'];;;;6,26;08AUG20;2
