BUSINESS MODE;SOURCE;ROW;CRS DATE;COUNT;CLEARING AMOUNT;TOTAL COUNT;TOTAL CLEARING AMOUNT;REPORT DATE;PAGE
ISSUER TRANSACTIONS;PURCHASE;ORIGINAL SALE RECEIVED FROM VISA;;641;-10.908,78;;;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;641;-10.908,78;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;ORIGINAL SALE REVERSAL RECEIVED FROM VISA;;1;9,45;;;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;1;9,45;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE FIN FROM VROL ORG        (+);;32;529,31;;;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;32;529,31;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;DISPUTE FIN REVERSAL FROM VROL ORG        (+);;2;-14,47;;;08AUG20;1
ISSUER TRANSACTIONS;PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;2;-14,47;08AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE; RECEIVED FROM VISA;;642;-10.899,33;;;08AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE; FROM VROL ORG        (+);;34;514,84;;;08AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE;TOTAL SENT TO SETTLEMENT ;;;;676;-10.384,49;08AUG20;1
ISSUER TRANSACTIONS;TOTAL PURCHASE;TOTAL TRANSACTIONS ;;;;676;-10.384,49;08AUG20;1
ISSUER TRANSACTIONS;MERCHANDISE CREDIT;ORIGINAL RECEIVED FROM VISA;;68;873,52;;;08AUG20;1
ISSUER TRANSACTIONS;MERCHANDISE CREDIT;TOTAL SENT TO SETTLEMENT ;;;;68;873,52;08AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;710;-10.025,81;;;08AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;34;514,84;;;08AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL SENT TO SETTLEMENT ;;;;744;-9.510,97;08AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;744;-9.510,97;08AUG20;1
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;744;-9.510,97;08AUG20;1
ISSUER TRANSACTIONS;POS AUTHORIZATION;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;266.542;;;;08AUG20;2
ISSUER TRANSACTIONS;POS AUTHORIZATION;TOTAL NON-FINANCIAL ;;;;266.542;;08AUG20;2
ISSUER TRANSACTIONS;POS AUTH REVERSAL;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;9.376;;;;08AUG20;2
ISSUER TRANSACTIONS;POS AUTH REVERSAL;TOTAL NON-FINANCIAL ;;;;9.376;;08AUG20;2
ISSUER TRANSACTIONS;POS DECLINE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;4;;;;08AUG20;2
ISSUER TRANSACTIONS;POS DECLINE;TOTAL NON-FINANCIAL ;;;;4;;08AUG20;2
ISSUER TRANSACTIONS;ATM DECLINE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;162;;;;08AUG20;2
ISSUER TRANSACTIONS;ATM DECLINE;TOTAL NON-FINANCIAL ;;;;162;;08AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;276.084;;;;08AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL NON-FINANCIAL ;;;;276.084;;08AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;276.084;;08AUG20;2
ISSUER TRANSACTIONS;TOTAL ISSUER TRANSACTIONS;TOTAL TRANSACTIONS ;;;;276.084;;08AUG20;2
OTHER TRANSACTIONS;DISPUTE FIN STATUS ADV;NON-FINANCIAL TRANSACTIONS FROM VROL ORG        (+);;34;;;;08AUG20;3
OTHER TRANSACTIONS;DISPUTE FIN STATUS ADV;TOTAL NON-FINANCIAL ;;;;34;;08AUG20;3
OTHER TRANSACTIONS;TEXT MESSAGE;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;620;;;;08AUG20;3
OTHER TRANSACTIONS;TEXT MESSAGE;TOTAL NON-FINANCIAL ;;;;620;;08AUG20;3
OTHER TRANSACTIONS;TABLE UPDATES;NON-FINANCIAL TRANSACTIONS RECEIVED FROM VISA;;1.950;;;;08AUG20;3
